,Age,WorkClass,Fnlwgt,Education,Education_num,Marital_staus,Occupation,Relationship,Race,Capital_gain,Capital_loss,Hours_per_week,Native_country,Income_ >50K,Sex_ Male
41,36,5,3176,9,12,2,9,0,4,0,0,39,38,0,1
42,7,3,9719,9,12,2,12,0,4,0,0,49,38,0,1
43,32,3,3488,11,8,5,0,4,4,0,0,39,38,0,0
44,8,3,17901,11,8,4,5,1,4,0,0,34,38,0,1
45,40,0,19337,9,12,2,9,0,2,0,0,39,38,1,1
46,36,3,7328,11,8,2,6,0,4,0,0,37,38,0,1
47,27,3,6213,12,13,0,3,4,4,0,0,39,38,0,0
48,24,6,3994,8,10,2,2,0,4,0,0,39,38,0,1
49,12,3,17154,8,10,4,9,1,4,0,0,42,38,0,1
50,8,3,549,15,9,2,3,5,3,0,0,39,38,0,0
51,1,3,14850,11,8,4,7,3,4,0,0,29,38,0,0
52,30,3,1608,14,14,2,9,5,4,0,47,59,15,1,0
53,33,0,16257,9,12,0,3,1,4,0,0,54,38,1,1
54,30,4,4680,11,8,0,3,1,4,0,0,59,38,0,1
55,26,3,15537,15,9,2,12,0,4,0,0,39,38,1,1
56,29,3,14161,4,2,2,6,0,4,0,0,39,25,0,1
57,18,3,1840,8,10,2,7,0,4,0,0,39,32,0,1
58,24,3,7554,11,8,2,0,0,4,0,0,47,38,0,1
59,13,3,11422,11,8,2,6,0,4,77,0,39,38,0,1
60,13,3,1970,9,12,2,11,0,4,34,0,39,38,0,1
61,15,3,18040,5,3,3,7,1,4,0,0,39,38,0,1
62,31,3,7725,11,8,2,13,0,4,0,0,39,38,0,1
63,25,3,5267,10,15,2,9,0,4,0,0,44,38,1,1
64,12,3,4327,15,9,0,12,1,4,0,0,57,38,0,1
65,19,3,8168,11,8,2,2,0,4,0,0,39,38,0,1
66,11,3,10859,15,9,0,0,1,4,0,0,39,38,0,0
67,36,3,9412,11,8,2,0,5,4,0,0,39,38,1,0
68,32,4,11825,15,9,2,3,0,4,0,0,49,38,1,1
69,8,3,12805,15,9,4,7,3,4,0,0,39,38,0,1
70,2,3,3983,15,9,4,9,3,4,0,0,31,38,0,1
71,14,3,18555,9,12,5,11,3,2,0,0,39,38,0,0
72,12,5,8707,9,12,2,11,0,4,0,0,68,38,1,1
73,6,3,13787,15,9,4,6,1,4,0,0,39,38,0,1
74,62,3,5947,15,9,2,9,2,4,0,0,19,38,0,1
75,10,3,13966,11,8,4,7,3,4,0,0,39,25,0,1
76,23,3,544,7,11,2,0,0,4,0,0,39,38,0,1
77,50,3,13865,0,5,2,7,0,4,0,0,1,38,0,1
78,1,3,18550,1,6,4,7,3,4,0,0,21,38,0,0
79,14,1,6036,5,3,2,4,0,4,0,0,39,38,0,1
80,1,3,21076,11,8,4,11,1,4,0,0,29,38,0,1
81,35,3,17359,9,12,2,7,0,4,0,0,39,4,0,1
82,29,3,1598,11,8,2,7,5,4,0,0,39,38,0,0
83,42,3,8511,11,8,2,11,0,4,0,0,47,38,0,1
84,27,3,19520,11,8,0,2,1,4,106,0,39,38,1,0
85,36,3,19601,11,8,0,11,3,4,0,0,34,38,0,0
86,32,1,17019,11,8,2,10,0,4,0,0,39,38,1,1
87,16,3,12945,12,13,2,9,0,4,0,0,49,38,0,1
88,13,3,1739,6,4,4,11,1,4,0,0,39,38,0,1
89,26,0,20763,10,15,4,9,1,4,0,0,49,38,1,0
90,40,3,16186,8,10,2,9,0,4,0,0,39,38,0,1
91,20,3,17778,15,9,0,2,4,4,0,0,39,38,0,0
92,11,3,13849,15,9,0,6,4,2,0,0,24,38,0,0
93,13,3,5384,11,8,2,11,5,1,0,21,34,38,0,0
94,17,1,14804,9,12,2,10,0,4,0,0,39,38,1,1
95,12,1,5178,15,9,4,5,1,4,0,0,49,38,0,1
96,31,5,11784,10,15,2,9,0,4,0,47,59,38,1,1
97,20,3,13000,15,9,2,11,0,4,0,0,47,38,1,1
98,31,3,9538,7,11,0,3,4,4,0,0,39,8,0,0
99,15,0,16161,11,8,4,7,3,2,0,0,39,38,0,1
100,59,3,5912,12,13,2,3,0,4,0,0,39,38,1,1
101,27,3,12548,9,12,2,3,0,4,108,0,59,38,1,1
102,30,5,7684,12,13,4,9,1,4,0,0,49,38,0,0
103,3,3,11443,15,9,4,12,3,4,0,0,39,38,0,0
104,12,3,4144,11,8,4,2,1,4,0,0,39,38,0,1
105,15,4,18787,11,8,2,2,0,4,94,0,39,38,1,1
106,0,3,18393,0,5,4,7,3,4,116,0,31,38,0,0
107,13,3,12178,1,6,4,5,3,4,0,0,39,38,0,1
108,14,1,11560,11,8,4,0,1,4,0,0,39,38,0,0
109,25,3,5945,11,8,2,5,0,4,0,0,39,38,0,1
110,7,3,20966,9,12,4,11,2,4,0,0,39,38,0,1
111,21,3,2177,14,14,2,9,0,4,0,0,39,38,1,1
112,39,5,19266,11,8,2,7,0,4,0,46,49,1,1,1
113,11,3,20284,15,9,2,11,5,4,66,0,24,38,0,0
114,19,3,4098,11,8,4,6,3,4,0,0,39,38,0,0
115,36,3,3548,6,4,2,5,0,4,0,0,49,38,0,1
116,39,4,18330,15,9,2,11,0,4,0,0,49,38,0,1
117,32,1,12438,8,10,2,2,0,2,0,0,39,38,1,1
118,38,3,16056,15,9,2,11,0,4,0,0,55,38,0,1
119,5,3,4084,11,8,4,2,1,4,0,0,40,38,0,1
120,4,3,12727,15,9,4,7,3,4,0,0,39,38,0,0
121,23,3,5493,9,12,2,3,0,4,0,0,59,38,0,1
122,13,3,2654,9,12,4,3,3,2,0,0,39,10,0,1
123,12,6,17007,9,12,2,9,0,4,0,0,49,38,1,1
124,2,3,18279,15,9,4,7,3,2,0,0,34,38,0,1
125,30,3,17821,9,12,2,3,5,4,0,0,39,38,1,0
126,3,3,4842,15,9,4,0,3,4,0,33,27,38,0,0
127,14,3,5114,7,11,2,0,0,4,0,0,39,38,1,1
128,18,3,6282,11,8,2,7,0,4,0,0,39,38,0,1
129,22,3,20039,15,9,0,2,1,4,0,0,39,38,0,1
130,11,3,2346,7,11,4,11,1,4,0,0,59,38,0,0
131,7,3,1214,11,8,4,7,1,4,0,40,39,38,0,0
132,21,5,5660,11,8,2,2,0,4,68,0,34,38,0,1
133,20,3,16364,9,12,2,11,0,4,0,0,49,38,0,1
134,29,3,7460,7,11,0,12,1,2,0,0,35,38,0,0
135,21,0,6038,12,13,2,9,0,4,0,0,39,19,1,1
136,26,5,1867,11,8,2,2,0,4,0,0,59,38,0,1
137,10,3,8790,8,10,2,0,5,4,0,0,34,38,0,0
138,3,3,723,15,9,4,11,3,4,0,0,19,38,0,1
139,32,3,2858,15,9,2,2,0,1,0,0,39,38,1,1
140,44,4,2223,11,8,2,2,0,4,0,0,39,38,0,1
141,10,3,15213,15,9,4,11,3,4,0,0,39,38,0,0
142,2,3,18763,15,9,4,7,3,4,0,0,29,25,0,1
143,28,3,12356,8,10,4,9,1,4,0,20,39,38,1,0
144,53,3,4306,15,9,4,12,2,4,0,0,39,38,0,1
145,14,3,11153,11,8,4,13,4,2,0,0,29,38,0,0
146,5,3,9981,15,9,2,7,0,4,0,0,23,38,0,1
147,19,3,4545,11,8,6,7,4,4,0,0,23,38,0,0
148,47,3,10627,1,6,2,2,0,4,0,62,39,38,0,1
149,26,3,9898,15,9,0,7,1,4,0,0,39,38,0,0
150,30,1,11170,15,9,0,0,4,4,0,0,37,25,0,0
151,17,3,12529,11,8,4,0,1,4,0,0,39,38,0,0
152,16,3,8773,9,12,4,3,2,1,0,0,39,29,0,0
153,4,3,18109,11,8,4,2,3,4,0,0,34,38,0,1
154,35,3,16316,11,8,0,7,1,4,0,0,44,38,1,1
155,31,3,11373,11,8,2,2,0,4,0,0,45,38,0,1
156,6,3,14004,9,12,4,5,1,4,0,0,39,38,0,1
157,54,5,21290,15,9,5,11,4,2,0,41,1,38,0,1
158,12,3,11815,11,8,0,2,1,4,0,0,59,38,0,1
159,25,3,14949,9,12,5,7,2,2,0,0,49,38,0,1
160,51,3,985,3,1,0,7,1,4,0,0,19,38,0,0
161,8,3,16310,11,8,4,7,4,4,0,0,39,38,0,0
162,27,4,2712,12,13,0,3,4,1,0,0,39,38,0,0
163,11,3,3171,11,8,4,3,1,1,0,0,39,8,0,0
164,28,5,12840,12,13,2,11,0,4,0,0,39,38,1,1
165,19,3,13412,15,9,0,7,4,4,0,0,39,25,0,0
166,22,0,15376,7,11,4,3,1,4,0,0,41,38,0,1
167,29,6,4082,12,13,6,10,4,4,0,0,39,38,0,1
168,1,3,160,1,6,4,5,3,4,0,0,15,38,0,1
169,49,1,1764,8,10,6,9,1,4,0,0,19,38,0,0
170,10,3,5968,11,8,4,7,1,4,0,51,39,38,0,1
171,11,6,9975,11,8,2,10,0,4,0,0,39,38,0,1
172,34,3,3577,15,9,2,11,0,4,0,50,39,38,1,1
173,10,3,20937,9,12,4,2,1,4,0,0,49,38,0,1
174,11,6,7723,9,12,2,9,0,4,0,0,39,38,1,1
175,10,3,16350,11,8,3,11,4,4,0,0,24,38,0,0
176,4,3,18641,11,8,4,2,3,2,0,0,39,38,0,1
177,17,3,21259,11,8,4,5,1,2,0,0,39,38,0,1
178,1,3,10954,11,8,4,7,3,4,0,0,11,38,0,1
179,16,3,924,9,12,2,9,0,4,0,0,64,38,0,1
180,27,1,10642,15,9,2,3,0,2,0,0,37,38,1,1
181,26,3,5083,15,9,0,0,1,4,0,0,39,38,0,0
182,13,3,21546,15,9,4,2,1,2,0,0,44,38,0,1
183,23,3,17766,5,3,2,6,0,4,0,0,39,25,1,1
184,20,0,322,15,9,2,0,0,4,0,0,41,38,1,1
185,17,3,18364,11,8,2,0,0,2,0,0,39,38,0,1
186,24,5,7228,9,12,0,3,1,4,0,0,39,38,0,0
187,36,3,6664,9,12,0,7,1,4,0,0,49,38,0,0
188,14,3,3867,12,13,2,9,5,4,0,0,49,38,0,0
189,41,6,4662,10,15,2,9,0,4,0,0,0,38,1,1
190,21,3,8144,15,9,0,6,1,2,0,0,27,38,0,0
191,7,3,8470,15,9,2,6,0,4,0,0,39,38,0,1
192,24,1,21394,9,12,2,2,0,2,0,0,39,38,0,1
193,30,3,5657,15,9,2,12,0,4,0,0,44,38,0,1
194,24,0,6385,9,12,2,12,0,4,0,0,23,38,0,1
195,6,3,12442,4,2,2,13,2,4,0,0,39,25,0,1
196,19,3,3825,15,9,0,2,1,4,0,0,39,38,0,1
197,23,0,1861,12,13,4,3,1,4,105,0,54,38,1,0
198,18,3,6926,12,13,2,9,2,4,91,0,39,38,1,1
199,7,5,599,11,8,4,11,1,4,0,0,39,38,0,1
200,9,3,20567,12,13,4,9,1,4,0,45,39,38,0,0
201,2,3,9505,11,8,4,7,3,4,0,0,39,21,0,1
202,34,3,16629,9,12,2,3,0,4,0,0,49,38,1,1
203,25,1,16395,15,9,4,9,1,4,0,13,39,38,0,0
204,20,6,1432,11,8,0,0,4,4,0,0,34,38,0,0
205,1,3,7000,1,6,4,11,3,4,0,0,39,38,0,0
206,19,3,6247,9,12,2,7,0,2,91,0,35,38,1,1
207,18,3,863,11,8,0,2,1,4,0,0,59,38,0,1
208,41,4,13689,11,8,2,11,5,4,108,0,34,38,1,0
209,0,3,2180,1,6,4,11,3,4,0,0,11,38,0,0
210,27,1,8595,11,8,2,13,0,2,0,0,39,38,0,1
211,20,3,13504,11,8,2,2,0,4,0,0,39,38,1,1
212,18,3,8038,15,9,4,11,1,0,0,0,39,38,0,0
213,43,3,3062,11,8,2,2,0,1,0,0,39,38,0,1
214,37,4,6003,5,3,2,6,0,4,0,0,39,38,1,1
215,20,3,21548,9,12,4,3,1,2,0,0,59,38,1,1
216,33,3,18649,7,11,0,11,1,4,0,0,39,38,0,0
217,21,3,10788,9,12,2,11,0,4,0,0,49,30,0,1
218,28,3,4651,9,12,2,9,0,4,0,0,54,38,0,1
219,8,3,16407,0,5,4,2,1,4,0,0,39,38,0,1
220,14,3,12494,15,9,2,5,0,4,0,0,39,38,0,1
221,47,3,11367,3,1,0,7,1,4,0,0,39,38,0,1
222,72,3,1603,11,8,4,7,1,2,0,65,39,38,0,1
223,37,3,10147,11,8,2,0,0,2,0,0,19,38,0,1
224,36,1,7009,13,0,4,6,1,4,0,0,34,38,0,0
225,1,3,15842,11,8,4,11,3,4,0,0,39,38,0,0
226,43,3,105,0,5,0,7,1,0,0,0,9,38,0,0
227,49,5,9189,11,8,2,4,0,4,11,0,49,38,0,1
228,58,3,18674,8,10,6,0,1,4,0,0,19,3,0,0
229,48,3,10167,11,8,0,0,1,4,0,0,39,38,0,0
230,18,3,21416,1,6,5,13,1,2,60,0,39,38,0,1
231,24,3,6361,11,8,0,11,4,2,0,0,37,38,0,0
232,8,3,8486,15,9,4,0,1,4,0,0,41,38,0,1
233,16,3,4786,15,9,0,2,2,3,0,0,39,38,0,0
234,11,3,2632,14,14,4,9,1,4,0,0,54,38,1,1
235,42,6,17039,11,8,2,7,0,4,0,0,39,38,0,1
236,23,6,9493,15,9,4,0,1,4,0,0,37,38,0,0
237,24,3,10516,9,12,2,3,0,4,0,0,49,19,1,1
238,21,1,5131,12,13,2,3,0,4,0,0,68,38,1,1
239,6,3,5166,11,8,4,13,3,4,0,0,39,38,0,1
240,23,3,19647,9,12,2,9,0,4,0,0,39,38,1,1
241,24,5,12302,11,8,2,7,5,4,0,0,19,38,0,0
242,7,6,17258,7,11,2,10,0,4,0,0,49,38,0,1
243,3,3,5520,15,9,4,7,3,4,0,0,19,38,0,1
244,21,3,10450,15,9,0,2,1,4,0,38,39,38,0,1
245,39,3,13082,11,8,2,0,0,4,0,0,34,38,0,1
246,41,3,15450,11,8,2,0,0,4,0,0,44,38,1,1
247,15,3,10952,11,8,4,7,1,4,0,0,33,38,0,0
248,23,3,13450,7,11,2,12,0,4,0,50,59,38,1,1
249,28,3,7991,11,8,2,0,0,4,0,0,39,38,0,1
250,24,3,4925,14,14,2,9,5,4,0,0,39,38,1,0
251,25,3,20479,9,12,2,0,5,2,0,0,39,38,0,0
252,42,1,9561,0,5,6,7,4,2,0,0,29,38,0,0
253,2,1,232,15,9,4,0,3,4,0,0,39,38,0,1
254,41,3,16616,15,9,4,13,1,4,0,0,19,38,0,1
255,25,5,18328,11,8,2,4,0,1,0,0,39,0,1,1
256,3,3,5390,11,8,4,7,3,4,0,0,39,38,0,0
257,15,3,9675,11,8,5,7,1,4,0,0,29,38,0,0
258,28,3,11368,8,10,6,3,1,4,0,0,44,38,0,0
259,33,3,13170,5,3,0,2,1,4,0,0,39,38,0,1
260,19,3,7758,9,12,0,9,3,4,0,0,39,38,0,0
261,28,3,3715,11,8,2,11,0,4,0,0,59,38,0,1
262,0,3,15980,1,6,4,7,3,4,0,0,11,38,0,1
263,42,3,7449,15,9,2,11,0,4,66,0,39,38,0,1
264,9,3,20293,1,6,2,2,0,4,0,0,39,38,0,1
265,20,4,16527,15,9,2,3,0,1,0,0,72,36,1,1
266,2,3,14325,15,9,4,7,3,4,0,0,23,1,0,1
267,47,3,39,11,8,2,3,0,4,0,0,39,38,1,1
268,16,3,11122,9,12,4,9,1,4,0,0,44,38,0,0
269,16,3,14537,11,8,2,2,5,4,0,0,39,38,1,0
270,44,3,2355,11,8,2,3,0,4,0,0,39,38,1,1
271,0,3,11780,6,4,4,7,3,4,6,0,23,38,0,1
272,33,5,432,12,13,2,4,0,4,34,0,92,38,0,1
273,10,1,13570,12,13,4,9,3,4,0,0,34,38,0,1
274,13,3,2371,11,8,0,9,3,4,0,0,39,38,0,0
275,26,3,21233,11,8,2,5,0,2,0,0,39,38,0,1
276,27,3,9524,15,9,2,2,0,4,91,0,39,38,1,1
277,18,3,11655,15,9,4,3,1,4,0,0,39,38,0,0
278,8,3,12068,15,9,4,12,3,4,0,0,39,38,0,0
279,7,3,17481,15,9,2,6,5,4,91,0,47,38,1,0
280,5,3,772,9,12,4,9,1,4,0,0,14,10,0,0
281,25,1,3682,15,9,2,2,0,4,79,0,39,38,1,1
282,17,3,9987,7,11,0,11,4,2,0,0,44,38,0,0
283,43,3,9813,9,12,0,9,1,4,0,0,41,38,0,0
284,4,3,13289,11,8,4,5,3,4,0,0,39,38,0,1
285,40,0,20910,12,13,2,11,0,4,108,0,39,38,1,1
286,24,3,14433,14,14,2,9,0,4,0,0,59,38,1,1
287,33,3,10139,15,9,0,7,1,4,0,0,44,38,0,1
288,8,3,20152,9,12,4,3,1,4,0,0,39,38,0,0
289,33,3,12078,5,3,2,2,0,4,0,0,39,6,0,1
290,19,3,12764,9,12,2,9,0,4,0,0,44,38,0,1
291,14,3,6158,11,8,0,9,1,4,0,0,39,38,0,0
292,12,1,14426,9,12,4,10,1,4,0,0,55,38,0,1
293,4,3,15172,15,9,4,11,3,4,0,0,44,38,0,1
294,10,3,16105,9,12,4,12,4,2,0,0,39,38,0,0
295,48,3,4793,11,8,2,13,0,4,0,0,15,38,0,1
296,20,4,1889,9,12,0,11,1,4,0,0,59,38,0,0
297,22,3,8315,12,13,2,7,5,1,58,0,39,38,0,0
298,7,3,17423,11,8,4,2,3,4,0,0,39,38,0,1
299,21,3,9371,11,8,0,11,1,4,0,0,76,38,0,1
300,31,3,7464,9,12,2,0,0,4,94,0,39,38,1,1
301,4,3,8035,15,9,4,7,1,1,0,0,24,38,0,0
302,14,3,14230,11,8,2,13,0,4,0,0,44,38,1,1
303,38,3,15581,11,8,2,11,0,4,68,0,39,38,1,1
304,7,3,18337,15,9,2,0,5,1,0,0,39,24,0,0
305,26,3,9751,11,8,0,0,1,4,0,0,39,38,0,0
306,9,3,12082,7,11,4,12,1,4,0,0,44,38,0,1
307,29,3,2918,7,11,4,9,1,4,0,0,32,38,0,0
308,18,3,12069,7,11,2,0,0,4,0,0,39,38,1,1
309,24,4,777,15,9,2,4,0,4,0,0,53,38,1,1
310,9,3,1961,9,12,4,11,1,4,0,0,39,38,0,1
311,17,3,7207,12,13,2,3,0,1,91,0,34,35,1,1
312,2,3,21627,15,9,4,7,3,2,0,0,24,38,0,0
313,19,5,13273,9,12,0,9,1,2,0,0,39,38,1,0
314,5,3,12705,15,9,4,11,3,4,0,0,14,38,0,1
315,7,3,11855,15,9,4,6,1,4,0,0,39,38,0,1
316,60,5,6906,15,9,2,11,0,4,0,0,39,38,0,1
317,5,3,20595,4,2,2,6,2,4,0,0,39,25,0,0
318,12,3,20884,15,9,4,12,1,4,0,0,39,38,0,0
319,45,3,8498,11,8,6,7,1,4,0,0,23,38,0,0
320,22,5,9854,11,8,2,3,0,4,0,0,39,38,0,1
321,26,3,1537,15,9,2,2,0,4,0,17,49,38,0,1
322,18,3,11180,11,8,0,13,1,4,0,0,44,38,0,1
323,12,3,12769,1,6,4,3,1,4,0,0,39,38,0,0
324,59,5,9855,12,13,2,2,0,4,0,0,9,38,0,1
325,46,5,2713,11,8,2,4,0,4,0,0,44,38,0,1
326,6,3,13784,8,10,4,7,3,2,0,0,14,38,0,0
327,26,3,11377,15,9,2,9,5,4,0,46,49,38,1,0
328,41,5,18890,11,8,2,5,0,4,0,0,39,38,0,1
329,49,3,6185,11,8,4,13,1,4,22,0,54,38,0,1
330,24,3,13365,15,9,4,2,1,2,0,0,44,38,0,1
331,9,3,14690,9,12,4,0,1,4,0,0,39,38,0,1
332,30,3,10383,8,10,4,7,1,4,0,0,39,38,0,1
333,38,1,3741,0,5,2,0,0,4,0,0,39,38,0,1
334,36,3,15805,11,8,2,13,0,4,0,0,39,38,0,1
335,0,3,17132,4,2,4,7,2,4,0,0,47,25,0,1
336,13,3,3464,11,8,4,2,2,4,0,0,39,38,0,1
337,32,3,2405,12,13,4,9,1,4,0,0,59,38,0,1
338,2,3,4208,11,8,4,11,4,2,0,0,29,13,0,1
339,28,3,16701,11,8,2,7,0,2,0,0,39,38,0,1
340,9,3,3500,7,11,4,11,1,4,0,0,39,38,0,1
341,21,3,18119,8,10,2,2,0,4,91,0,39,38,1,1
342,19,6,5534,11,8,2,10,0,4,91,0,39,38,1,1
343,16,3,3026,11,8,4,4,1,4,0,0,19,38,0,1
344,5,6,18016,15,9,4,10,3,2,0,0,39,38,0,0
345,26,5,15768,9,12,4,11,1,4,0,0,41,38,0,1
346,50,3,850,1,6,2,7,0,4,0,0,7,38,0,1
347,13,3,7887,8,10,0,7,4,4,0,0,39,38,0,0
348,39,3,3951,7,11,3,7,1,4,0,0,24,19,0,1
349,14,3,8229,9,12,4,9,3,4,0,0,24,38,0,1
350,16,3,5411,9,12,2,3,0,4,0,0,39,38,1,1
351,9,3,11891,11,8,2,7,0,4,0,0,39,38,0,1
352,16,3,4816,9,12,2,3,0,4,0,0,39,38,1,1
353,29,1,19116,1,6,2,13,0,4,0,0,29,38,0,1
354,42,3,20153,9,12,2,7,0,4,0,0,39,38,1,1
355,21,0,3527,11,8,2,0,0,4,0,0,39,38,1,1
356,48,3,8634,1,6,6,7,4,3,0,0,39,38,0,1
357,23,3,3585,8,10,2,12,0,4,0,0,39,38,1,1
358,25,3,4857,11,8,2,0,5,4,0,0,34,38,0,0
359,9,5,5312,6,4,2,2,0,4,0,0,39,31,0,1
360,19,3,19652,0,5,2,7,5,4,0,0,23,38,0,0
361,45,3,17095,12,13,2,9,0,4,0,0,39,38,1,1
362,26,3,10567,9,12,2,13,0,4,0,0,44,38,0,1
363,26,3,9890,9,12,0,3,1,4,0,20,44,38,1,1
364,5,3,20757,11,8,3,11,1,4,0,0,54,38,0,1
365,11,3,3372,11,8,2,2,0,4,0,0,39,38,0,1
366,39,5,10843,15,9,2,11,0,4,0,0,44,38,0,1
367,5,3,19981,7,11,4,11,1,4,0,0,14,38,0,0
368,40,3,13839,9,12,0,3,1,4,0,0,44,38,1,0
369,22,3,21247,11,8,0,11,4,4,0,0,39,38,0,0
370,9,0,11162,15,9,4,0,4,4,0,0,14,38,0,0
371,0,3,3253,1,6,4,7,3,4,0,0,9,38,0,1
372,23,6,10963,8,10,2,6,0,4,0,0,37,38,1,1
373,28,3,16493,11,8,2,6,0,2,0,0,39,38,0,1
374,27,3,8546,11,8,4,2,1,2,0,0,39,38,0,1
375,3,1,19728,15,9,4,0,3,4,0,0,9,38,0,0
376,16,3,16974,11,8,2,2,5,4,0,0,39,38,0,0
377,6,3,821,15,9,4,11,1,4,0,0,39,38,0,1
378,29,5,2809,12,13,0,3,1,4,0,0,29,38,0,1
379,21,3,9712,11,8,2,11,0,4,0,0,49,38,0,1
380,37,3,9856,11,8,0,13,1,4,0,0,39,38,0,1
381,29,3,14034,4,2,0,2,1,4,0,72,44,38,0,0
382,8,3,19566,15,9,2,2,0,4,0,0,39,38,0,1
383,29,3,4582,15,9,0,11,1,4,0,0,39,38,0,0
384,19,1,5333,15,9,2,13,5,4,0,0,39,38,0,0
385,6,3,20551,11,8,4,7,1,4,0,0,24,38,0,0
386,12,3,6613,11,8,5,6,1,4,0,0,39,38,0,1
387,27,3,8681,15,9,2,0,5,4,0,76,5,38,1,0
388,2,3,148,15,9,4,0,3,4,0,0,15,38,0,0
389,2,3,15193,11,8,4,7,2,4,0,0,39,38,0,0
390,18,3,14405,11,8,2,7,5,4,0,0,39,38,1,0
391,10,3,18268,9,12,4,2,1,4,0,0,49,38,0,1
392,29,5,17415,7,11,5,2,1,4,0,0,39,38,0,1
393,17,6,3716,9,12,2,3,0,4,94,0,44,38,1,1
394,17,3,12315,11,8,4,7,1,4,0,0,34,38,0,0
395,27,3,5176,15,9,2,12,0,4,0,0,39,38,0,1
396,28,3,3642,15,9,0,5,4,4,0,0,39,38,0,0
397,3,3,6796,11,8,4,7,2,4,0,0,34,38,0,0
398,8,3,3108,9,12,2,3,0,4,0,0,54,38,1,1
399,35,4,6472,9,12,2,3,0,4,0,0,49,38,1,1
400,3,3,20813,15,9,4,5,3,4,0,0,39,38,0,1
401,11,3,4575,15,9,4,7,1,4,0,0,39,38,0,0
402,33,6,17838,9,12,2,10,0,4,0,0,39,38,1,1
403,17,3,14901,8,10,0,12,1,4,0,0,63,38,0,0
404,11,3,9080,5,3,2,5,0,3,0,62,39,32,0,1
405,24,3,21064,12,13,2,3,0,4,0,50,64,38,1,1
406,11,3,4707,11,8,2,0,0,4,0,0,39,38,0,1
407,29,5,18773,11,8,2,2,0,4,0,0,24,38,0,1
408,11,3,5826,15,9,2,7,5,4,0,46,39,38,1,0
409,15,3,20018,15,9,2,3,0,4,0,0,49,38,0,1
410,24,1,1181,15,9,0,7,1,2,0,0,23,38,0,0
411,7,3,15771,11,8,4,5,4,2,0,0,39,38,0,0
412,16,3,5457,15,9,0,3,4,4,0,0,39,38,0,0
413,29,3,11454,10,15,2,3,0,4,108,0,59,38,1,1
414,14,6,21636,15,9,2,6,0,4,0,0,39,38,0,1
415,18,3,3378,2,7,0,2,1,4,0,0,49,38,1,1
416,35,3,11726,3,1,2,6,0,4,0,0,39,25,0,1
417,13,3,20920,1,6,4,7,3,4,0,0,18,38,0,0
418,17,1,15880,1,6,5,6,1,2,0,0,39,38,0,1
