Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Target
30/7/2008,15:25:00,1.306,0.444,238.66,5.8,14.0
24/8/2010,05:41:00,1.322,0.082,238.71,5.4,18.0
7/8/2010,13:30:00,0.246,0.118,244.06,1.0,2.0
9/5/2009,20:34:00,0.566,0.23,242.85,2.6,1.0
4/4/2007,05:56:00,0.29,0.076,240.24,1.2,0.0
17/8/2009,10:32:00,0.248,0.136,242.61,1.2,1.0
17/9/2007,10:57:00,0.276,0.188,235.95,1.4,0.0
10/9/2010,00:37:00,0.184,0.054,245.11,0.8,1.0
7/6/2009,22:17:00,2.304,0.21,238.93,9.6,1.0
28/7/2008,01:18:00,0.324,0.21,239.11,1.6,1.0
4/9/2010,16:42:00,0.41,0.21,243.22,1.8,3.0
7/3/2010,10:07:00,0.25,0.0,242.54,1.0,0.0
29/1/2009,00:02:00,0.342,0.116,245.4,1.4,1.0
28/7/2009,07:36:00,0.234,0.132,242.79,1.0,3.0
29/10/2010,03:13:00,0.348,0.078,246.46,1.6,1.0
19/4/2009,04:04:00,0.494,0.246,246.35,2.2,3.0
23/10/2010,18:49:00,1.988,0.0,237.67,8.4,19.0
5/10/2007,00:50:00,0.292,0.058,239.42,1.2,1.0
3/1/2009,18:20:00,0.682,0.0,243.07,2.8,1.0
15/4/2008,07:54:00,1.588,0.0,240.28,6.6,19.0
25/12/2009,23:00:00,1.46,0.0,245.67,5.8,19.0
25/6/2008,13:28:00,1.132,0.418,236.79,5.0,14.0
7/10/2007,00:01:00,0.346,0.0,240.87,1.4,0.0
26/10/2010,22:00:00,0.394,0.186,242.09,1.8,2.0
30/11/2008,03:56:00,0.214,0.054,244.39,0.8,0.0
6/11/2010,06:04:00,0.432,0.2,242.19,2.0,1.0
29/9/2009,03:26:00,0.23,0.114,242.02,1.0,1.0
20/12/2008,07:05:00,1.602,0.046,242.51,6.6,18.0
21/12/2008,14:13:00,1.414,0.08,242.83,5.8,18.0
5/7/2010,09:44:00,0.338,0.236,243.47,1.6,2.0
7/3/2008,23:52:00,0.384,0.046,245.53,1.6,1.0
1/5/2009,12:09:00,1.128,0.478,239.67,5.0,3.0
26/5/2007,04:16:00,0.294,0.08,236.22,1.2,1.0
12/9/2008,07:04:00,3.66,0.21,236.05,15.6,29.0
23/9/2008,07:57:00,4.618,0.29,233.57,20.2,45.0
29/8/2009,15:38:00,3.196,0.716,237.29,13.8,19.0
12/6/2008,02:08:00,0.192,0.0,240.43,0.8,1.0
16/10/2008,12:13:00,0.728,0.0,240.93,3.0,1.0
21/9/2007,23:24:00,0.326,0.112,243.13,1.4,2.0
28/9/2008,09:37:00,0.186,0.0,242.9,0.8,1.0
19/1/2009,10:08:00,1.4,0.094,242.84,5.8,18.0
15/7/2009,08:19:00,1.426,0.204,241.25,5.8,20.0
1/5/2008,02:55:00,0.25,0.0,241.4,1.0,0.0
20/9/2010,02:21:00,1.298,0.068,242.32,5.2,20.0
2/2/2009,12:04:00,1.302,0.048,243.64,5.2,19.0
15/2/2007,23:55:00,1.656,0.19,244.13,6.8,19.0
19/7/2010,12:22:00,0.26,0.134,244.36,1.2,1.0
12/4/2007,16:34:00,0.29,0.092,241.53,1.2,0.0
10/11/2008,07:26:00,2.7,0.23,239.46,11.2,19.0
7/11/2009,13:55:00,2.428,0.406,239.31,10.4,18.0
2/12/2009,21:38:00,2.766,0.0,241.4,11.4,19.0
15/6/2008,10:41:00,1.58,0.072,237.49,6.6,18.0
30/12/2007,20:57:00,3.308,0.112,237.37,13.8,18.0
4/6/2009,13:57:00,0.238,0.106,238.1,1.0,1.0
24/5/2009,22:30:00,0.684,0.23,241.42,3.0,1.0
10/3/2010,14:33:00,1.81,0.07,245.75,7.2,19.0
3/8/2008,17:33:00,1.006,0.304,235.58,4.4,15.0
30/6/2008,12:55:00,1.512,0.204,237.58,6.4,17.0
21/2/2010,03:45:00,0.274,0.062,243.64,1.2,1.0
28/9/2009,03:07:00,0.288,0.202,243.02,1.4,2.0
5/8/2009,03:53:00,0.312,0.258,241.78,1.6,2.0
8/11/2009,18:47:00,3.342,0.23,242.34,13.8,20.0
20/4/2010,05:28:00,0.246,0.052,241.22,1.0,1.0
23/6/2007,22:11:00,0.282,0.212,240.35,1.4,1.0
25/4/2009,23:13:00,4.358,0.124,241.35,18.0,39.0
2/1/2008,15:05:00,0.32,0.0,247.18,1.4,0.0
7/12/2008,10:00:00,1.922,0.0,238.53,8.0,18.0
9/1/2009,23:11:00,0.214,0.0,248.69,0.8,0.0
5/8/2007,11:56:00,1.662,0.222,234.87,7.0,17.0
22/12/2009,21:28:00,3.34,0.092,241.45,13.8,18.0
25/2/2010,17:42:00,2.07,0.0,241.44,8.4,18.0
25/11/2010,07:59:00,2.006,0.068,238.67,8.4,21.0
31/10/2009,16:54:00,2.304,0.298,239.94,9.8,18.0
28/1/2010,05:50:00,0.28,0.0,246.04,1.2,1.0
5/2/2008,11:02:00,0.396,0.228,240.86,1.8,2.0
11/8/2007,01:44:00,0.196,0.112,232.31,1.0,0.0
27/2/2008,20:51:00,0.308,0.092,235.78,1.4,0.0
27/6/2008,20:36:00,1.352,0.42,240.8,5.8,2.0
19/6/2009,11:04:00,0.24,0.112,240.49,1.0,0.0
17/5/2007,13:47:00,0.492,0.332,238.19,2.4,2.0
2/6/2007,16:35:00,1.43,0.158,235.64,6.0,18.0
2/10/2009,00:25:00,0.26,0.174,244.71,1.2,2.0
17/6/2008,12:13:00,0.274,0.078,238.85,1.2,1.0
22/3/2008,22:23:00,1.966,0.202,243.42,8.2,18.0
28/6/2007,03:48:00,0.162,0.0,241.74,0.8,0.0
28/11/2008,02:56:00,0.214,0.0,244.78,0.8,0.0
5/6/2007,17:48:00,0.404,0.194,236.17,1.8,0.0
10/9/2010,19:46:00,1.582,0.24,239.73,6.6,19.0
20/12/2006,06:59:00,0.21,0.0,243.69,0.8,0.0
26/12/2008,04:11:00,0.416,0.23,249.13,1.8,0.0
2/4/2010,20:36:00,2.212,0.0,235.68,9.8,2.0
22/8/2007,07:15:00,0.274,0.236,240.48,1.4,0.0
31/1/2007,14:42:00,1.602,0.0,240.74,6.6,18.0
5/11/2008,21:00:00,2.604,0.0,238.54,10.8,18.0
15/5/2009,09:40:00,1.564,0.056,237.86,6.4,18.0
7/4/2010,12:56:00,1.366,0.074,240.94,5.6,19.0
24/12/2006,19:03:00,0.502,0.126,242.06,2.0,0.0
29/1/2010,06:11:00,0.378,0.134,246.07,1.6,1.0
12/5/2010,09:06:00,1.702,0.302,240.31,7.2,19.0
13/10/2007,01:56:00,0.314,0.088,240.0,1.4,0.0
28/4/2009,11:56:00,1.36,0.052,239.77,5.6,19.0
27/12/2006,20:20:00,2.532,0.19,242.71,10.4,18.0
14/12/2008,01:21:00,0.266,0.0,242.54,1.2,0.0
15/9/2009,12:12:00,0.188,0.0,240.94,0.8,0.0
1/4/2009,13:21:00,0.498,0.352,245.41,2.4,2.0
31/7/2009,10:03:00,0.14,0.0,241.71,0.6,1.0
22/4/2009,20:16:00,0.562,0.258,241.56,2.8,3.0
29/7/2009,14:32:00,0.424,0.328,240.12,2.2,1.0
5/2/2007,20:33:00,5.302,0.242,237.05,22.4,52.0
25/7/2010,22:24:00,0.512,0.058,242.87,2.0,1.0
6/8/2009,08:12:00,0.222,0.12,240.37,1.0,3.0
29/8/2008,01:41:00,0.082,0.0,243.12,0.2,1.0
30/6/2010,15:35:00,0.848,0.192,240.12,3.6,1.0
3/10/2009,05:32:00,0.228,0.102,243.62,1.0,1.0
10/12/2009,12:07:00,1.336,0.0,243.47,5.4,18.0
17/12/2009,01:19:00,0.32,0.108,248.74,1.2,1.0
16/3/2007,17:27:00,1.204,0.0,237.02,5.0,0.0
25/11/2010,07:29:00,1.93,0.168,240.17,8.0,21.0
3/1/2008,02:22:00,1.486,0.092,246.61,6.0,18.0
18/12/2008,09:38:00,1.38,0.098,240.55,5.6,18.0
21/5/2009,04:13:00,0.32,0.116,243.28,1.4,2.0
18/9/2008,15:31:00,1.352,0.148,239.94,5.6,19.0
5/6/2007,12:57:00,0.258,0.074,234.8,1.0,0.0
3/7/2010,06:00:00,1.168,0.56,240.9,5.4,14.0
29/9/2010,00:10:00,0.966,0.0,242.69,4.0,1.0
23/8/2010,18:31:00,1.328,0.062,241.86,5.4,19.0
4/5/2009,07:20:00,2.192,0.198,238.19,9.4,19.0
9/1/2009,01:04:00,0.29,0.0,248.07,1.2,0.0
11/4/2008,23:08:00,1.952,0.0,242.75,8.0,0.0
29/10/2008,15:43:00,0.762,0.062,242.92,3.0,2.0
30/10/2009,12:59:00,0.304,0.078,241.36,1.2,2.0
24/12/2007,22:34:00,0.474,0.072,240.17,2.0,1.0
8/2/2007,09:59:00,1.446,0.222,239.57,6.0,20.0
4/6/2007,22:38:00,0.598,0.384,234.81,3.0,0.0
4/5/2009,20:58:00,4.624,0.054,237.22,19.4,56.0
23/1/2010,06:06:00,0.254,0.0,246.81,1.0,1.0
17/5/2009,08:09:00,0.264,0.0,240.7,1.0,0.0
16/2/2010,15:36:00,1.602,0.0,245.38,6.4,19.0
14/9/2007,21:26:00,1.212,0.342,238.95,5.2,2.0
19/1/2010,02:25:00,0.248,0.0,246.49,1.0,0.0
25/10/2009,00:25:00,1.92,0.266,239.37,8.0,2.0
24/5/2008,01:48:00,0.312,0.234,243.7,1.6,2.0
4/2/2009,07:49:00,2.89,0.0,242.53,11.8,18.0
12/4/2008,21:27:00,3.258,0.442,239.91,13.6,19.0
5/3/2010,01:58:00,0.522,0.1,240.55,2.2,1.0
20/3/2008,07:47:00,2.87,0.07,238.69,12.0,19.0
9/7/2007,07:09:00,1.666,0.072,239.11,7.0,15.0
23/6/2009,01:15:00,0.22,0.094,243.71,1.0,2.0
6/8/2007,19:06:00,0.306,0.21,236.56,1.6,0.0
22/3/2007,04:08:00,0.234,0.0,245.77,1.0,0.0
6/9/2010,05:39:00,0.264,0.074,242.95,1.2,0.0
8/3/2009,15:02:00,1.556,0.132,244.42,6.4,18.0
14/7/2010,04:36:00,0.282,0.126,239.19,1.2,3.0
18/8/2008,08:29:00,0.268,0.256,241.34,1.4,1.0
18/8/2009,15:53:00,1.404,0.206,239.83,5.8,19.0
12/4/2008,12:29:00,0.762,0.244,243.29,3.2,3.0
28/3/2008,17:02:00,0.374,0.22,240.83,1.8,1.0
21/6/2010,04:40:00,0.194,0.046,240.64,0.8,0.0
3/8/2008,02:02:00,0.222,0.104,235.04,1.0,3.0
4/3/2009,23:23:00,2.662,0.076,243.24,10.8,39.0
10/7/2010,08:21:00,0.416,0.194,241.63,2.0,1.0
29/12/2008,01:07:00,0.41,0.238,246.91,1.8,2.0
16/8/2009,02:31:00,0.468,0.386,242.2,2.4,3.0
20/2/2007,11:38:00,1.932,0.232,240.48,8.0,18.0
18/3/2007,23:48:00,0.294,0.0,243.61,1.2,2.0
18/8/2007,04:47:00,0.272,0.24,241.89,1.4,0.0
8/7/2008,16:03:00,0.304,0.0,239.65,1.2,0.0
11/2/2009,14:17:00,2.508,0.366,245.26,10.4,31.0
13/2/2009,09:00:00,1.408,0.09,236.79,5.8,19.0
7/12/2007,21:37:00,0.33,0.13,239.25,1.4,1.0
12/2/2007,23:52:00,0.222,0.0,243.5,1.0,0.0
1/5/2010,06:17:00,0.37,0.116,240.91,1.6,0.0
10/1/2007,02:55:00,0.29,0.136,244.24,1.4,0.0
16/5/2010,01:30:00,1.428,0.116,240.84,6.0,0.0
6/6/2009,07:23:00,2.984,0.0,236.62,13.8,17.0
2/3/2009,19:33:00,1.28,0.07,234.89,5.4,0.0
28/9/2010,11:10:00,0.218,0.0,241.18,1.0,0.0
18/9/2008,08:57:00,1.366,0.124,238.2,5.6,19.0
24/9/2008,17:44:00,0.256,0.142,242.09,1.2,1.0
15/4/2008,00:46:00,0.448,0.258,240.84,2.0,1.0
10/5/2008,23:09:00,2.944,0.0,240.53,12.4,2.0
9/7/2010,11:52:00,0.46,0.198,241.23,2.2,1.0
23/3/2008,00:43:00,0.328,0.046,242.06,1.4,0.0
28/3/2009,23:21:00,4.006,0.234,241.82,16.6,19.0
17/1/2008,02:09:00,0.394,0.052,243.68,1.8,0.0
18/8/2007,13:38:00,0.202,0.146,241.44,1.0,0.0
31/5/2007,14:54:00,0.204,0.05,235.17,0.8,0.0
25/5/2010,09:10:00,1.28,0.058,236.84,5.4,18.0
9/6/2008,08:51:00,1.294,0.0,236.5,5.4,19.0
23/3/2009,00:40:00,0.476,0.104,242.15,2.0,0.0
26/7/2008,02:48:00,0.218,0.078,238.62,1.0,1.0
9/7/2009,15:51:00,0.286,0.132,242.78,1.2,1.0
20/1/2010,00:30:00,0.438,0.248,244.6,2.0,3.0
19/12/2008,10:39:00,1.58,0.304,239.2,6.6,19.0
24/1/2010,21:52:00,1.098,0.222,237.01,4.6,2.0
19/7/2009,15:44:00,0.5,0.24,244.38,2.2,1.0
12/2/2007,02:21:00,0.254,0.0,242.1,1.2,0.0
13/5/2010,15:55:00,0.352,0.11,245.89,1.4,0.0
18/3/2010,03:53:00,0.244,0.0,243.81,1.0,1.0
27/2/2009,22:41:00,1.744,0.078,241.85,7.2,18.0
18/8/2008,03:03:00,0.266,0.282,243.08,1.6,1.0
6/9/2009,06:54:00,0.2,0.0,241.77,0.8,1.0
15/3/2007,04:55:00,1.37,0.088,239.67,5.6,18.0
29/5/2008,14:49:00,0.312,0.216,234.91,1.6,2.0
3/9/2007,11:13:00,1.15,0.0,234.32,4.8,18.0
24/1/2009,19:24:00,1.818,0.12,239.37,7.6,0.0
24/2/2007,11:15:00,0.294,0.1,238.14,1.2,2.0
8/3/2007,20:40:00,4.584,0.102,234.62,19.4,52.0
22/10/2008,13:03:00,0.556,0.0,241.5,2.4,1.0
26/11/2010,14:35:00,1.276,0.058,240.18,5.2,18.0
25/3/2010,19:05:00,1.274,0.24,240.32,5.4,3.0
10/7/2007,21:15:00,0.474,0.116,242.17,2.4,0.0
3/5/2010,17:51:00,0.336,0.084,236.27,1.4,1.0
13/10/2009,21:16:00,1.35,0.086,241.48,5.6,1.0
2/4/2010,16:34:00,1.678,0.2,244.59,6.8,19.0
4/4/2008,08:39:00,3.764,0.0,238.97,15.6,55.0
25/2/2007,17:45:00,0.214,0.0,239.58,0.8,0.0
4/6/2010,21:24:00,0.778,0.188,238.8,3.4,0.0
17/3/2009,16:24:00,1.496,0.254,244.23,6.2,18.0
23/8/2009,08:13:00,0.374,0.0,240.95,1.6,1.0
2/1/2010,02:10:00,0.354,0.172,246.62,1.6,1.0
22/4/2009,10:53:00,1.472,0.146,242.08,6.0,19.0
27/3/2008,02:32:00,0.318,0.102,245.25,1.4,0.0
8/3/2009,04:41:00,1.308,0.052,243.69,5.2,18.0
14/6/2009,07:41:00,0.218,0.0,241.18,1.0,0.0
11/1/2007,06:18:00,0.292,0.134,243.18,1.4,0.0
18/11/2009,18:31:00,3.2,0.1,238.52,13.8,22.0
28/3/2007,15:26:00,1.694,0.266,242.4,7.0,19.0
5/9/2010,05:38:00,0.428,0.304,243.58,2.2,2.0
20/7/2008,05:54:00,0.998,0.326,241.53,4.2,13.0
31/10/2009,09:52:00,3.922,0.066,237.29,16.4,56.0
6/8/2007,15:20:00,0.254,0.118,234.6,1.4,0.0
17/2/2007,06:03:00,0.66,0.132,240.64,2.8,0.0
10/10/2010,09:35:00,1.734,0.316,236.85,7.4,11.0
23/6/2007,14:02:00,0.224,0.132,241.51,1.0,0.0
7/3/2007,02:48:00,0.36,0.184,241.4,1.6,1.0
15/2/2010,03:20:00,0.258,0.0,249.07,1.0,1.0
31/1/2010,13:53:00,1.738,0.188,242.98,7.2,18.0
10/10/2007,03:23:00,0.31,0.054,241.11,1.4,0.0
16/4/2010,18:50:00,1.704,0.0,242.43,7.0,18.0
23/5/2009,22:39:00,0.454,0.072,242.19,1.8,0.0
20/12/2009,13:25:00,1.524,0.096,247.31,6.0,19.0
4/1/2008,01:41:00,0.306,0.094,244.89,1.2,0.0
19/4/2008,20:54:00,2.338,0.076,237.25,9.8,17.0
29/4/2008,00:08:00,0.364,0.142,244.78,1.6,1.0
12/11/2007,15:36:00,1.45,0.18,240.01,6.0,18.0
1/11/2010,10:03:00,1.532,0.22,243.69,6.2,19.0
15/6/2010,19:28:00,0.546,0.254,244.8,2.4,0.0
27/8/2008,22:32:00,0.084,0.0,244.69,0.2,1.0
12/11/2008,21:24:00,3.02,0.098,236.26,12.8,19.0
2/1/2010,11:58:00,0.392,0.142,244.89,1.6,0.0
9/9/2010,06:33:00,0.16,0.062,242.05,0.8,1.0
18/11/2009,13:03:00,3.99,0.198,242.14,16.4,58.0
20/6/2009,13:21:00,1.278,0.09,240.92,5.2,20.0
16/5/2008,15:43:00,1.432,0.0,239.76,6.0,18.0
5/11/2010,09:34:00,1.332,0.058,239.91,5.4,19.0
7/2/2009,08:38:00,1.746,0.08,244.1,7.2,18.0
28/1/2010,12:02:00,1.418,0.096,241.23,5.8,19.0
27/3/2009,13:02:00,1.506,0.12,243.15,6.2,18.0
7/3/2008,22:55:00,2.222,0.118,240.24,9.2,0.0
17/3/2010,11:03:00,1.832,0.106,242.38,7.8,20.0
28/11/2008,22:26:00,1.306,0.176,242.88,5.4,0.0
27/5/2008,02:36:00,0.298,0.118,240.88,1.4,1.0
3/6/2008,09:38:00,1.212,0.0,232.2,5.2,17.0
27/12/2008,00:33:00,1.678,0.082,242.65,6.8,18.0
11/9/2009,14:02:00,0.216,0.1,240.24,1.0,2.0
12/5/2008,11:50:00,3.99,0.256,236.86,16.8,56.0
1/7/2007,13:23:00,0.398,0.338,241.38,2.2,1.0
14/3/2009,16:09:00,1.436,0.112,246.85,5.8,19.0
30/6/2009,18:02:00,0.874,0.336,242.58,3.8,1.0
10/10/2007,08:55:00,0.408,0.094,237.79,1.8,1.0
6/9/2010,13:56:00,0.382,0.174,242.47,1.8,1.0
4/3/2007,04:46:00,0.294,0.106,241.61,1.2,1.0
15/7/2010,11:02:00,2.504,0.242,238.84,10.4,37.0
1/5/2010,04:58:00,0.248,0.0,242.06,1.0,1.0
9/3/2009,11:41:00,1.562,0.058,239.98,6.4,18.0
27/5/2008,07:07:00,2.146,0.12,239.13,9.0,18.0
11/1/2008,21:52:00,1.284,0.072,239.04,5.4,0.0
24/12/2009,03:05:00,0.28,0.09,249.01,1.2,0.0
3/10/2009,02:07:00,0.45,0.146,241.12,2.4,5.0
21/8/2010,20:19:00,0.218,0.0,241.18,1.0,0.0
11/4/2010,08:41:00,0.234,0.0,239.45,1.0,1.0
18/7/2010,05:33:00,0.234,0.098,243.21,1.0,1.0
9/2/2007,23:57:00,0.448,0.256,243.77,2.2,2.0
23/1/2009,18:44:00,2.186,0.046,238.06,9.2,18.0
21/8/2010,18:57:00,0.218,0.0,241.18,1.0,0.0
5/6/2009,01:20:00,1.404,0.0,239.35,5.8,18.0
17/6/2007,16:17:00,2.244,0.156,241.28,9.8,21.0
24/9/2009,09:48:00,1.356,0.228,242.69,5.6,20.0
6/8/2009,16:36:00,1.39,0.23,242.25,5.8,18.0
15/11/2008,22:34:00,2.676,0.124,240.73,11.0,19.0
20/4/2007,16:38:00,0.256,0.0,241.77,1.2,0.0
11/8/2010,14:45:00,0.328,0.218,240.04,1.6,1.0
14/11/2010,10:21:00,1.354,0.074,238.81,5.6,18.0
20/3/2009,04:27:00,0.22,0.0,243.94,0.8,0.0
15/1/2010,03:32:00,0.418,0.236,245.65,1.8,1.0
17/4/2009,14:43:00,0.412,0.116,241.99,1.8,1.0
8/9/2007,01:48:00,0.116,0.0,242.32,0.6,0.0
27/2/2010,00:25:00,1.45,0.072,243.98,5.8,19.0
8/5/2009,15:57:00,1.528,0.0,241.66,6.2,18.0
5/10/2008,17:19:00,0.49,0.236,245.37,2.2,1.0
4/1/2008,07:31:00,2.688,0.096,236.38,11.4,17.0
4/7/2007,09:11:00,1.214,0.0,240.23,5.0,17.0
26/4/2010,15:33:00,1.372,0.0,240.09,5.6,19.0
14/5/2009,18:11:00,0.504,0.146,238.9,2.2,2.0
30/3/2010,16:57:00,0.84,0.082,239.91,3.4,2.0
5/9/2010,09:32:00,1.112,0.264,239.82,4.8,15.0
6/4/2010,19:15:00,0.922,0.14,243.44,3.8,1.0
30/9/2007,16:54:00,0.288,0.104,242.77,1.2,1.0
29/4/2007,09:32:00,0.218,0.0,241.18,1.0,0.0
21/6/2009,16:22:00,0.242,0.132,239.53,1.2,0.0
27/11/2008,11:00:00,2.788,0.086,239.6,11.6,18.0
